Short-sleeved,,,Shirt,,,Sweater,,,Down jacket,,,Sitting,,,Typing,,,Walking,
Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC
0.9802,0.8438,,0.9802,0.8579,,0.9833,0.8945,,0.981,0.9153,,,,,,,,,
0.9922,0.9508,,0.9798,0.9782,,0.9936,0.9497,,0.9797,0.9529,,,,,,,,,
0.99,0.9649,,0.9826,0.9895,,0.9802,0.971,,0.9799,0.9535,,,,,,,,,
0.9809,0.9405,,0.9972,0.9575,,0.9901,0.943,,0.9873,0.9704,,,,,,,,,
0.98,0.9525,,0.9717,0.9453,,0.9701,0.9637,,0.9787,0.893,,,,,,,,,
0.9908,0.9235,,0.988,0.9725,,0.9696,0.9396,,0.9791,0.8279,,,,,,,,,
0.987,0.9368,,0.9801,0.961,,0.9853,0.9289,,0.981,0.9266,,,,,,,,,
0.9818,0.9176,,0.9814,0.9808,,0.98,0.8445,,0.9783,0.9072,,,,,,,,,
0.9802,0.9465,,0.9906,0.9271,,0.9801,0.853,,0.981,0.9742,,,,,,,,,
0.981,0.9243,,0.9797,0.8696,,0.9887,0.8901,,0.9934,0.9069,,,,,,,,,
0.9799,0.8856,,0.981,0.8765,,0.9659,0.8815,,0.9806,0.963,,,,,,,,,
