Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.047,0.23515791933399,0.294037795935927,22.94921875,-51.8888920561275,-63.1039792357421
0.048,0.251224873147574,0.391772091837538,23.4375,-52.3975375685458,-62.4867460415589
0.049,0.270642006867195,0.527169902696639,23.92578125,-51.7151873603985,-59.825747411202
0.05,0.290187641835443,0.662866875046033,24.4140625,-51.029336215221,-58.8923598949654
0.051,0.304970458030563,0.759370457724993,24.90234375,-50.554613843779,-57.9669889242055
0.052,0.309622301108101,0.788078368326082,25.390625,-50.8459752464432,-57.4852310945147
0.053,0.299929106244263,0.738602539705906,25.87890625,-50.2535991577009,-58.3716751284061
0.054,0.274326450788645,0.6183597122372,26.3671875,-51.9916256886078,-59.6972172044522
0.055,0.234593478251742,0.446257755540617,26.85546875,-52.9219100307965,-58.7189521486197
0.056,0.18532836293942,0.244851134314792,27.34375,-51.9891257570926,-56.9111608191696
0.057,0.132320187761346,0.0353043208837363,27.83203125,-52.0158865919095,-57.0484345345076
0.058,0.0804659638068663,-0.16325038005633,28.3203125,-52.6779709599327,-58.9335548631106
0.059,0.0321206461083695,-0.332043478389822,28.80859375,-52.8826604920644,-60.564704913533
0.06,-0.0133936436407553,-0.452420524076024,29.296875,-53.5169585698589,-60.3255971295025
0.061,-0.0588521276496849,-0.509093911751346,29.78515625,-52.6449719299946,-60.0899313408111
0.062,-0.107074448423673,-0.495747716529039,30.2734375,-52.9762153041788,-58.8873720006937
0.063,-0.158576856841797,-0.419774136898224,30.76171875,-53.5916529481262,-60.2547223972027
0.064,-0.210002336506376,-0.303061224574912,31.25,-53.2142681015722,-62.0168927705032
0.065,-0.254199379980651,-0.177441274230024,31.73828125,-50.726267777062,-59.3266502896566
0.066,-0.282154852259499,-0.0757328705442214,32.2265625,-50.4291806980244,-57.3769031957981
0.067,-0.286137705344208,-0.0214901559648342,32.71484375,-51.1341808085576,-57.4354488604981
