Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.062,-2.10002984396228,2.08495829226828,7.568359375,-44.4314444675049,-52.5013250310046
0.063,-2.60465852667337,2.0588192306703,7.6904296875,-46.6629089044424,-53.0206103291713
0.064,-3.20183320967484,1.98731875244669,7.8125,-47.2973057995071,-54.5667097737414
0.065,-3.81581523446909,1.88267438943812,7.9345703125,-49.2001404764172,-55.9748295195972
0.066,-4.37022708687093,1.76036283494427,8.056640625,-51.9995818470874,-60.721232695649
0.067,-4.79579311742115,1.6375988235995,8.1787109375,-50.3594614752741,-57.6311502729738
0.068,-5.03728065310477,1.53169941765085,8.30078125,-46.3631386901575,-54.0191015137271
0.069,-5.05895549604077,1.45845049635535,8.4228515625,-44.8905976546163,-53.3053866855764
0.07,-4.84802429051633,1.43057447536477,8.544921875,-48.7007483350696,-55.5446814105281
0.071,-4.41574241365387,1.4564163614629,8.6669921875,-50.4405490050928,-57.3380949902481
0.072,-3.79609879362065,1.53899342347684,8.7890625,-46.6279927125541,-53.9939807282429
0.073,-3.04222726910487,1.67554772385134,8.9111328125,-47.7916778333055,-56.0352952218494
0.074,-2.22091707554282,1.85768156094565,9.033203125,-48.8914829835543,-55.6970121366791
0.075,-1.40578247243127,2.07206913545992,9.1552734375,-47.7390531065927,-54.3333146459618
0.076,-0.669784587998527,2.3016659842103,9.27734375,-46.4751721805652,-55.0549428221349
0.077,-0.0778624159328742,2.5272994776616,9.3994140625,-44.8106535593938,-53.1831076743915
0.078,0.319583592655627,2.72950601290796,9.521484375,-45.3784068938551,-54.4514378536642
0.079,0.491702470614601,2.89046254829381,9.6435546875,-47.5644796687489,-55.5491263571762
0.08,0.430203696399534,2.99583473508448,9.765625,-43.546188477666,-50.6438094306475
0.081,0.150082104857777,3.03634150044801,9.8876953125,-43.5330861390585,-51.3805800881045
0.082,-0.311994830025082,3.00883581235773,10.009765625,-43.0893193564392,-50.3779985092336
0.083,-0.901455171887794,2.91674191577453,10.1318359375,-39.8549056824353,-48.2640166736826
0.084,-1.55135571269904,2.76977707213244,10.25390625,-41.7586344352879,-49.5662118851799
0.085,-2.18912508064549,2.58300140188257,10.3759765625,-41.2208473369709,-49.0199262562493
0.086,-2.74385111561649,2.37534048543295,10.498046875,-38.9898198340379,-47.0046063642139
0.087,-3.15339604849961,2.1677774615828,10.6201171875,-36.5790361305209,-44.5049616498395
0.088,-3.37063616144355,1.98141309799525,10.7421875,-33.8212742071408,-42.7064889700355
0.089,-3.36820250495917,1.83556635604757,10.8642578125,-31.9933142197257,-41.0085093550124
0.09,-3.14124351033487,1.74605854434766,10.986328125,-30.5482731683059,-39.496033992097
0.091,-2.70792753631401,1.72380552749665,11.1083984375,-29.8936512017231,-39.5929705650564
0.092,-2.10763314858551,1.77383443046982,11.23046875,-26.0930256320338,-35.4187555283146
0.093,-1.39701170203847,1.89482840075678,11.3525390625,-24.8379010712042,-34.1535087704199
0.094,-0.644324212394377,2.07926467329277,11.474609375,-29.2414603234688,-38.6033990536747
0.095,0.0773713969528426,2.3141403647311,11.5966796875,-39.966046874,-48.0369046182402
0.096,0.697494788415424,2.58219580528046,11.71875,-42.9418156404967,-49.6245017309718
0.097,1.15495341458352,2.86348251400013,11.8408203125,-42.5616819946861,-50.2369047509706
0.098,1.40419936880003,3.13710761263785,11.962890625,-43.6668633365567,-52.2685227096447
0.099,1.41974752398631,3.38301213304785,12.0849609375,-44.1801263494526,-53.6866522507714
0.1,1.19872535640107,3.58367474856272,12.20703125,-41.8934195116073,-50.4384370872321
0.101,0.761216217543206,3.72564374000668,12.3291015625,-43.125461997111,-52.0169922151492
0.102,0.148368795418113,3.80078240389342,12.451171875,-44.4094089818792,-52.9990567308683
0.103,-0.581540369031986,3.80708877413761,12.5732421875,-43.3246025083949,-51.543090559518
0.104,-1.3587056962536,3.74895445957728,12.6953125,-42.5951218733787,-50.6546233405439
0.105,-2.10850380105512,3.63678177752992,12.8173828125,-44.9534357849758,-53.3254187719814
0.106,-2.75865885492425,3.48597073174871,12.939453125,-46.0652244014343,-53.721195680623
0.107,-3.24616130025775,3.31537770908951,13.0615234375,-46.6763060780562,-53.7030280209547
0.108,-3.52326822831834,3.14540549679335,13.18359375,-48.6164355345769,-56.3983624221091
0.109,-3.5620098874226,2.99591312446896,13.3056640625,-47.875449204789,-55.2438232938695
0.11,-3.35677766993537,2.88415619587701,13.427734375,-45.4841142397836,-53.2838070144828
0.111,-2.92475752040088,2.82299154867119,13.5498046875,-48.1458946289256,-56.5517192118322
0.112,-2.30418040784612,2.81958485443714,13.671875,-47.53831643592,-54.4984578964684
0.113,-1.55056984058624,2.87481639490567,13.7939453125,-49.9830557752476,-55.6071133615011
0.114,-0.731357480266906,2.98347784218985,13.916015625,-45.9604204577359,-52.8433701591448
