Time_s,BCG_Orig,Constant_Orig,Clean_Difference,Alt_BCG,Alt_Const,Noisy_Alt_BCG,Noisy_Alt_Const,BCG_Interf,Const_Interf,Recovered,Zoom1_T,Zoom1_BCG,Zoom1_Const,Zoom2_T,Zoom2_NB,Zoom2_NC,Dash_T,Dash_C_Top,Dash_C_Bot,Dash_N_Top,Dash_N_Bot
0,0.180829404802673,0.01,0.170829404802673,0.180829404802673,,0.173835261886927,,0.173835261886927,0.173835261886927,0.289091253924174,0.256005120102402,0.371089366378227,,0.46602532050641,,0.0106072256794562,0.000992019840396808,0.180944567411759,0.01,0.17276992624663,0.00341347402525695
3.20006400128003e-05,0.180833032473773,0.01,0.170833032473773,0.180833032473773,,0.170520897686335,,0.170520897686335,0.170520897686335,0.281948842431243,0.256037120742415,0.370923670445467,,0.466057321146423,,0.0222211563691129,0.00198403968079362,0.181065571502696,0.01,0.193519018755659,0.0220154820511602
6.40012800256005e-05,0.180836665839841,0.01,0.170836665839841,0.180836665839841,,0.189507992889513,,0.189507992889513,0.189507992889513,0.297107890342082,0.256069121382428,0.370757561112671,,0.466089321786436,,-0.000518745264780048,0.00297605952119042,0.181192812913245,0.01,0.17821279330432,0.0103742787839067
9.60019200384008e-05,0.18084030491335,0.01,0.17084030491335,0.18084030491335,,0.184310802128256,,0.184310802128256,0.184310802128256,0.288082652288486,0.25610112202244,0.370591039146685,,0.466121322426449,,0.0180082351747336,0.00396807936158723,0.181326703877504,0.01,0.190312181520781,0.0189594636790339
0.000128002560051201,0.180843949706795,0.01,0.170843949706795,0.180843949706795,,0.194087401019773,,0.194087401019773,0.194087401019773,0.294031203887665,0.256133122662453,0.37042410531689,,0.466153323066461,,0.00976388546737701,0.00496009920198404,0.181467672652621,0.01,0.185487527139838,0.0107548538415746
0.000160003200064001,0.180847600232686,0.01,0.170847600232686,0.180847600232686,,0.190397256477812,,0.190397256477812,0.190397256477812,0.286513012053364,0.256165123302466,0.370256760395191,,0.466185323706474,,0.000268796257413925,0.00595211904238085,0.181616163014609,0.01,0.184631544094216,0.0121142153808819
0.000192003840076802,0.180851256503552,0.01,0.170851256503552,0.180851256503552,,0.161093845815856,,0.161093845815856,0.161093845815856,0.25338155409907,0.256197123942479,0.370089005156018,,0.466217324346487,,0.0159747433887531,0.00694413888277766,0.181772633614321,0.01,0.178511678227167,0.00743804838345327
0.000224004480089602,0.180854918531941,0.01,0.170854918531941,0.180854918531941,,0.17999307863167,,0.17999307863167,0.17999307863167,0.268452739622545,0.256229124582492,0.369920840376312,,0.4662493249865,0.225069820128558,,0.00793615872317446,0.181937557185004,0.01,0.184530832370297,0.0172616026747919
0.000256005120102402,0.180858586330418,0.01,0.170858586330418,0.180858586330418,,0.173078332639879,,0.173078332639879,0.173078332639879,0.257709946338415,0.256261125222504,0.369752266835529,,0.466281325626513,0.233499479832675,,0.00892817856357127,0.182111419593242,0.01,0.175912578832461,0.00822902756552866
0.000288005760115202,0.180862259911566,0.01,0.170862259911566,0.180862259911566,,0.187070028614606,,0.187070028614606,0.187070028614606,0.267873595020803,0.256293125862517,0.369583285315624,,0.466313326266525,0.236790906968381,,0.00992019840396808,0.182294718725661,0.01,0.205678642769849,0.0239982883346694
0.000320006400128003,0.180865939287988,0.01,0.170865939287988,0.180865939287988,,0.20485164468392,,0.20485164468392,0.20485164468392,0.281827163797779,0.25632512650253,0.369413896601053,,0.466345326906538,0.242390235756752,,0.0109122182443649,0.182487963204415,0.01,0.18044974049766,0.000388009634739091
0.000352007040140803,0.180869624472304,0.01,0.170869624472304,0.180869624472304,,0.186052971397989,,0.186052971397989,0.186052971397989,0.259200443219508,0.256357127142543,0.369244101478761,,0.466377327546551,0.228536848855373,,0.0119042380847617,0.182691670925289,0.01,0.180196237520673,0.00776997822925851
0.000384007680153603,0.180873315477151,0.01,0.170873315477151,0.180873315477151,,0.173052609584828,,0.173052609584828,0.173052609584828,0.242372034114008,0.256389127782556,0.36907390073818,,0.466409328186564,0.231979751219058,,0.0128962579251585,0.182906367413133,0.01,0.175208455113181,0.00443466332804897
0.000416008320166403,0.180877012315187,0.01,0.170877012315187,0.180877012315187,,0.18800494065745,,0.18800494065745,0.18800494065745,0.253496317894292,0.256421128422568,0.36890329517122,,0.466441328826577,0.225094473134908,,0.0138882777655553,0.183132583990437,0.01,0.193314666847673,0.0180652381192245
0.000448008960179204,0.180880714999085,0.01,0.170880714999085,0.180880714999085,,0.180940631404513,,0.180940631404513,0.180940631404513,0.242603961349016,0.256453129062581,0.368732285572266,,0.466473329466589,0.230247881427418,,0.0148802976059521,0.183370855756011,0.01,0.17620028333054,0.00244375619763254
0.000480009600192004,0.180884423541538,0.01,0.170884423541538,0.180884423541538,,0.183255319792734,,0.183255319792734,0.183255319792734,0.241090602444899,0.256485129702594,0.368560872738167,,0.466505330106602,0.238492208700218,,0.0158723174463489,0.183621719372026,0.01,0.167636563025489,-0.00557231567934462
