Time_s,BCG_Orig,Constant_Orig,Clean_Difference,Alt_BCG,Alt_Const,Noisy_Alt_BCG,Noisy_Alt_Const,BCG_Interf,Const_Interf,Recovered,Zoom1_Time_s,Zoom1_BCG,Zoom1_Const,Zoom2_Time_s,Zoom2_Noisy_BCG,Zoom2_Noisy_Const
0,0.180829404802673,0.01,0.170829404802673,0.180829404802673,,0.186081790463504,,0.186081790463504,0.0164777890025611,0.0443417899630613,0.256005120102402,0.371089366378227,,0.46602532050641,,-0.0729706156645281
3.20006400128003e-05,0.180833032473773,0.01,0.170833032473773,0.180833032473773,,0.193267617440324,,0.193267617440324,0.0173044012221298,0.0557644715793907,0.256037120742415,0.370923670445467,,0.466057321146423,,-0.074400821617378
6.40012800256005e-05,0.180836665839841,0.01,0.170836665839841,0.180836665839841,,0.182717788023128,,0.182717788023128,0.0106869006226752,0.0494514968017041,0.256069121382428,0.370757561112671,,0.466089321786436,,-0.0747750068538366
9.60019200384008e-05,0.18084030491335,0.01,0.17084030491335,0.18084030491335,,0.167697014836133,,0.167697014836133,-0.0055235690744468,0.0386675782542186,0.25610112202244,0.370591039146685,,0.466121322426449,,-0.0647688365460349
0.000128002560051201,0.180843949706795,0.01,0.170843949706795,0.180843949706795,,0.175175271328058,,0.175175271328058,0.00582196381299532,0.0503826893856532,0.256133122662453,0.37042410531689,,0.466153323066461,,-0.0674244911705426
0.000160003200064001,0.180847600232686,0.01,0.170847600232686,0.180847600232686,,0.179219347997595,,0.179219347997595,0.00883742424490117,0.0586636206946996,0.256165123302466,0.370256760395191,,0.466185323706474,,-0.065094203394719
0.000192003840076802,0.180851256503552,0.01,0.170851256503552,0.180851256503552,,0.183792404619595,,0.183792404619595,0.0139128179984702,0.0674735319562095,0.256197123942479,0.370089005156018,,0.466217324346487,,-0.0577140731942506
0.000224004480089602,0.180854918531941,0.01,0.170854918531941,0.180854918531941,,0.196788066642715,,0.196788066642715,0.0233952232614567,0.0847060486188381,0.256229124582492,0.369920840376312,,0.4662493249865,0.173479182008247,
0.000256005120102402,0.180858586330418,0.01,0.170858586330418,0.180858586330418,,0.182768531642896,,0.182768531642896,0.0104434360316361,0.074923368258529,0.256261125222504,0.369752266835529,,0.466281325626513,0.17317633325993,
0.000288005760115202,0.180862259911566,0.01,0.170862259911566,0.180862259911566,,0.177428628797653,,0.177428628797653,0.00691292427393246,0.0738203200527955,0.256293125862517,0.369583285315624,,0.466313326266525,0.17661165668502,
0.000320006400128003,0.180865939287988,0.01,0.170865939287988,0.180865939287988,,0.186169754200866,,0.186169754200866,0.0155828075982741,0.0867983000955177,0.25632512650253,0.369413896601053,,0.466345326906538,0.181819433590515,
0.000352007040140803,0.180869624472304,0.01,0.170869624472304,0.180869624472304,,0.181268687630232,,0.181268687630232,0.00813952522097613,0.0861340881643937,0.256357127142543,0.369244101478761,,0.466377327546551,0.186139416793623,
0.000384007680153603,0.180873315477151,0.01,0.170873315477151,0.180873315477151,,0.181309264451385,,0.181309264451385,0.00832406158757024,0.0904115196250563,0.256389127782556,0.36907390073818,,0.466409328186564,0.200550372957332,
0.000416008320166403,0.180877012315187,0.01,0.170877012315187,0.180877012315187,,0.187779317143173,,0.187779317143173,0.0176568165526645,0.101118426956354,0.256421128422568,0.36890329517122,,0.466441328826577,0.204949402898781,
0.000448008960179204,0.180880714999085,0.01,0.170880714999085,0.180880714999085,,0.179571463873041,,0.179571463873041,0.0102606046252071,0.0971474283257313,0.256453129062581,0.368732285572266,,0.466473329466589,0.198668042197732,
0.000480009600192004,0.180884423541538,0.01,0.170884423541538,0.180884423541538,,0.180523202024111,,0.180523202024111,0.0113439728621793,0.102336021116311,0.256485129702594,0.368560872738167,,0.466505330106602,0.20103007395762,
