Time_s,Amplitude
6.8492,0.827897001172836
6.849201,0.760887740687812
6.849202,0.770426632657832
6.849203,0.912398208335704
6.849204,1.07406240570842
6.849205,0.866995760549705
6.849206,1.03120676476611
6.849207,0.978910470029866
6.849208,1.05760202286478
6.849209,1.01315843958708
6.84921,0.880100444907199
6.849211,0.79092428979629
6.849212,0.974054726589439
6.849213,0.67835355073868
6.849214,0.848089180444382
6.849215,1.08489024032995
6.849216,1.03402096260699
6.849217,0.762734990287789
6.849218,1.00355177267895
6.849219,0.73028031522231
6.84922,0.794800885814013
6.849221,0.897093620427272
6.849222,0.822457194637006
6.849223,1.07395716147129
6.849224,0.626393943628483
6.849225,0.791443705231403
6.849226,0.796620676887221
6.849227,0.962737079231071
6.849228,0.693668956880109
6.849229,0.884775930140409
6.84923,0.590234352059777
6.849231,0.885095371299363
6.849232,0.787798577599779
6.849233,0.750404801848534
6.849234,1.2572781721402
6.849235,0.909525729009709
6.849236,0.876426761423348
6.849237,0.693009207493807
6.849238,0.901348285030535
6.849239,0.775682603556736
6.84924,1.06696633501537
6.849241,0.971080688152294
6.849242,0.79637287242647
6.849243,0.970656679683825
6.849244,0.899102863518636
6.849245,0.851399632644236
6.849246,0.786887611065174
6.849247,0.971751763084214
6.849248,0.850893610550655
6.849249,0.630924727846196
6.84925,0.722044281445213
6.849251,0.651475478506202
6.849252,0.77091884485393
6.849253,1.04078553938925
6.849254,0.79553057155617
6.849255,0.629556817784972
6.849256,0.692831647727976
6.849257,0.811470095907081
6.849258,0.847566315253017
6.849259,0.943878106715533
6.84926,0.703358030333622
6.849261,0.916697027825225
6.849262,0.769433324074058
6.849263,0.861330762236419
6.849264,0.779640444813243
6.849265,0.726561483000947
6.849266,0.658705082520687
6.849267,0.755365601172355
6.849268,0.765488996906915
6.849269,0.731685443480255
6.84927,0.840468909653356
6.849271,0.887456995049904
6.849272,0.711077851351714
6.849273,0.814578057348449
6.849274,0.787619450303637
6.849275,0.702907695908522
6.849276,0.431053671218539
6.849277,0.793000627930497
6.849278,0.779142354487758
6.849279,0.912618683910531
6.84928,0.857352978790998
6.849281,1.06241723462277
6.849282,0.673200627520993
6.849283,0.0675817839248979
6.849284,1.00618898915056
6.849285,1.09181444820609
6.849286,0.847322987962678
6.849287,1.65349550139846
6.849288,0.645852781695471
6.849289,1.00057275578902
6.84929,0.885419963319047
6.849291,0.623687995534625
6.849292,0.919956688223668
6.849293,0.647515628999726
6.849294,1.39556423560386
6.849295,1.06645842125556
6.849296,0.66681909145617
6.849297,0.124320336599637
6.849298,1.12942315581279
6.849299,1.10148022891785
6.8493,0.702591406639417
6.849301,0.728249262383764
6.849302,0.677006678483178
6.849303,0.784625175024979
6.849304,1.2800973575631
6.849305,1.36257312668986
6.849306,1.34749900509661
6.849307,1.13152724990763
6.849308,0.94281028042626
6.849309,0.544403097686561
6.84931,0.313770239168787
6.849311,1.26613672275854
6.849312,1.14048596772225
6.849313,1.16060831861869
6.849314,1.08114270954396
6.849315,1.4575108563416
6.849316,0.985430637347633
6.849317,0.471718662485155
6.849318,0.93695201074443
6.849319,1.2724176843523
6.84932,1.14520827956209
6.849321,0.955888889332452
6.849322,1.23882624738148
6.849323,0.326926803634111
6.849324,1.27713222333784
6.849325,1.09235200061786
6.849326,0.97881124169352
6.849327,0.38259251201183
6.849328,0.988464593465253
6.849329,1.44063912078771
6.84933,0.925291137016854
6.849331,1.21920969468931
6.849332,0.89238556907264
6.849333,0.465874625028201
6.849334,1.10955525245375
6.849335,1.02680128260518
6.849336,0.859192428298076
6.849337,1.23797241239231
6.849338,0.629726903840014
6.849339,0.851892542546745
6.84934,1.09500213725154
6.849341,0.801703221369602
6.849342,0.648070736997407
6.849343,0.502064291835274
6.849344,1.03546322834972
6.849345,1.11842617963387
6.849346,0.923914134609672
6.849347,1.06900944947498
6.849348,1.19893205751563
6.849349,0.605504757344537
6.84935,0.577619188383212
6.849351,0.832445093956181
6.849352,1.28653254606038
6.849353,0.283572857336932
6.849354,0.86314869688329
6.849355,1.01095631205251
6.849356,0.773042053836759
6.849357,0.820381958767348
6.849358,0.703273824389947
6.849359,0.725338795473218
6.84936,0.785832374588432
6.849361,0.629966356856322
6.849362,0.886755980113589
6.849363,0.915334407063113
6.849364,1.00968013540279
6.849365,0.983849805284342
6.849366,0.942523293079448
6.849367,0.901463535509441
6.849368,0.925019248296465
6.849369,0.915309091234952
6.84937,0.935513874986177
6.849371,0.882634592838892
6.849372,0.931505636568711
6.849373,0.917658026230678
6.849374,0.662695066094927
6.849375,0.675502682305989
6.849376,0.795257608354424
6.849377,0.935847079298735
6.849378,0.822713957006557
6.849379,0.691188577757474
6.84938,0.806746175559364
6.849381,0.997577118718626
6.849382,0.797837679092918
6.849383,0.733895532297009
6.849384,0.926356287277639
6.849385,0.888711375374995
6.849386,0.727866918518866
6.849387,0.769378654653424
6.849388,0.809729677885106
6.849389,0.874254271848668
6.84939,0.959741826077556
6.849391,0.612154791288346
6.849392,0.952351397457583
6.849393,0.833688887112032
6.849394,0.858231431760639
6.849395,0.733730195918643
6.849396,0.823512169313169
