NLOS,,,,,,,,,,,,LOS,,,,,,,,,,,,,,
Accuracy,,,,,,PCC,,,,,,Accuracy,,,,,,,,PCC,,,,,,
1,2,3,4,5,,1,2,3,4,5,,1,2,3,4,5,6,7,,1,2,3,4,5,6,7
0.0013,0.0199,0.0017,0.0148,0.0203,,0.9607,0.906,0.9189,0.9391,0.8726,,0.0077,0.0116,0.0159,0.0079,0.0382,0.0121,0.0364,,0.9026,0.9652,0.9513,0.9674,0.8326,0.9546,0.8681
0.0187,0.0208,0.0113,0.0041,0.0188,,0.8375,0.8446,0.8371,0.85,0.8599,,0.0083,1.00E-04,0.0032,0.0147,0.0109,0.0096,0.0371,,0.9046,0.9656,0.9475,0.965,0.9798,0.9554,0.7944
0.0193,0,0.0035,0.0439,0.0418,,0.8775,0.9446,0.8986,0.7845,0.855,,0.0089,0.0186,0.0218,0.009,0.0021,0.0377,0.0568,,0.9487,0.9204,0.8591,0.9697,0.9393,0.8807,0.7263
0.0068,0.0199,0.0218,0.0189,0.0199,,0.915,0.8808,0.9792,0.9595,0.8675,,7.00E-04,0.0044,0.0055,0.0192,0.0166,0.0409,0.0653,,0.9597,0.9803,0.9087,0.9123,0.9646,0.8784,0.6336
0.0192,0.0071,0.0178,0.0471,0.0585,,0.8544,0.9597,0.965,0.8127,0.6596,,0.0122,0.0201,0.0193,0.0197,0.0201,0.0195,0.022,,0.929,0.975,0.9095,0.8422,0.8891,0.9618,0.8872
0.0183,0.0029,0.0415,0.0219,0.059,,0.8183,0.9766,0.7805,0.9553,0.6033,,0.013,0.0195,0.017,0.0245,0.0181,0.0264,0.0461,,0.9223,0.9798,0.8993,0.7788,0.9669,0.8994,0.7835
0.0197,0.0175,0.0148,0.02,0.0475,,0.8445,0.9397,0.9699,0.8865,0.7848,,0.019,0.02,0.018,0.0192,0.0129,0.0121,0.0201,,0.9182,0.9859,0.7813,0.8937,0.9311,0.9506,0.7989
0.0198,0.0196,0.0195,0.0207,0.0444,,0.8657,0.9041,0.939,0.9444,0.8252,,0.0039,0.0189,0.0205,0.0166,0.0188,0.0027,0.0604,,0.9147,0.9797,0.8411,0.9815,0.9247,0.983,0.7082
0.0196,0.0189,0.0192,0.0192,0.1365,,0.8665,0.9035,0.9782,0.9142,0.5195,,0.0134,0.0237,0.0042,0.0305,0.0178,0.0177,0.017,,0.9723,0.8592,0.9426,0.8063,0.9658,0.9191,0.9173
0.0114,0.0077,0.003,0.0197,0.0201,,0.9064,0.9724,0.9521,0.9568,0.9337,,0.0178,0.0186,0.0195,0.0184,0.0115,0.0208,0.0028,,0.9554,0.8023,0.882,0.8592,0.9552,0.9275,0.9299
0.0192,0.0094,0.02,0.0474,0.0246,,0.853,0.9683,0.9151,0.8636,0.9271,,0.0216,5.00E-04,0.0021,0.003,0.0398,0.0104,0.0051,,0.9235,0.9551,0.9661,0.9747,0.873,0.9437,0.9039
0.0145,0.0192,0.0202,0.0056,0.061,,0.9031,0.8843,0.8791,0.8819,0.7797,,0.0057,0.0214,0.0089,0.0196,0.0203,0.0422,0.022,,0.9626,0.7428,0.9515,0.937,0.9665,0.763,0.7836
0.0012,0.0186,0.0043,0.022,0.0213,,0.9623,0.8712,0.9364,0.906,0.9178,,0.017,0.004,0.0199,0.0245,0.0197,0.036,0.0209,,0.8875,0.9011,0.8943,0.8375,0.9578,0.9007,0.7679
0.0034,0.02,0.0195,0.0285,0.0138,,0.9853,0.9317,0.8422,0.9743,0.9103,,0.0222,0.0195,0.0034,0.0223,0.0041,0.0222,0.059,,0.8612,0.9678,0.9307,0.9226,0.9654,0.9444,0.6406
0.0203,0.0089,0.0194,0.0195,0.0204,,0.9515,0.9252,0.935,0.9525,0.987,,0.0072,0.0219,0.0191,0.0031,0.0193,0.0195,0.0202,,0.9476,0.8616,0.9162,0.9569,0.9835,0.9432,0.8491
