,,,,,,50-70,,70-90,,90-110,,110-130,
ECG RR interval,BCG RR interval,,Mean interval,Difference,,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.932,0.92,,0.926,0.012,,,,,,,,,
0.948,0.915,,0.9315,0.033,,,,,,,,,
0.87,0.84,,0.855,0.03,,,,,,,,,
0.87,0.84,,0.855,0.03,,,,,,,,,
0.846,0.83,,0.838,0.016,,,,,,,,,
0.848,0.815,,0.8315,0.033,,,,,,,,,
0.812,0.79,,0.801,0.022,,,,,,,,,
0.826,0.81,,0.818,0.016,,,,,,,,,
0.87,0.835,,0.8525,0.035,,,,,,,,,
0.848,0.825,,0.8365,0.023,,,,,,,,,
0.85,0.83,,0.84,0.02,,,,,,,,,
0.886,0.85,,0.868,0.036,,,,,,,,,
0.872,0.84,,0.856,0.032,,,,,,,,,
0.846,0.83,,0.838,0.016,,,,,,,,,
0.85,0.835,,0.8425,0.015,,,,,,,,,
0.886,0.865,,0.8755,0.021,,,,,,,,,
0.868,0.85,,0.859,0.018,,,,,,,,,
0.87,0.845,,0.8575,0.025,,,,,,,,,
0.848,0.82,,0.834,0.028,,,,,,,,,
0.848,0.83,,0.839,0.018,,,,,,,,,
0.868,0.835,,0.8515,0.033,,,,,,,,,
0.848,0.83,,0.839,0.018,,,,,,,,,
0.85,0.81,,0.83,0.04,,,,,,,,,
0.782,0.775,,0.7785,0.007,,,,,,,,,
0.806,0.775,,0.7905,0.031,,,,,,,,,
0.826,0.81,,0.818,0.016,,,,,,,,,
0.848,0.83,,0.839,0.018,,,,,,,,,
0.85,0.83,,0.84,0.02,,,,,,,,,
0.868,0.84,,0.854,0.028,,,,,,,,,
0.848,0.82,,0.834,0.028,,,,,,,,,
0.868,0.845,,0.8565,0.023,,,,,,,,,
0.908,0.87,,0.889,0.038,,,,,,,,,
0.89,0.875,,0.8825,0.015,,,,,,,,,
0.904,0.88,,0.892,0.024,,,,,,,,,
0.89,0.865,,0.8775,0.025,,,,,,,,,
0.89,0.855,,0.8725,0.035,,,,,,,,,
0.844,0.835,,0.8395,0.009,,,,,,,,,
0.87,0.825,,0.8475,0.045,,,,,,,,,
0.822,0.815,,0.8185,0.007,,,,,,,,,
0.83,0.81,,0.82,0.02,,,,,,,,,
0.824,0.805,,0.8145,0.019,,,,,,,,,
0.868,0.835,,0.8515,0.033,,,,,,,,,
0.866,0.85,,0.858,0.016,,,,,,,,,
0.87,0.845,,0.8575,0.025,,,,,,,,,
0.866,0.84,,0.853,0.026,,,,,,,,,
0.806,0.795,,0.8005,0.011,,,,,,,,,
0.826,0.805,,0.8155,0.021,,,,,,,,,
0.826,0.815,,0.8205,0.011,,,,,,,,,
0.846,0.805,,0.8255,0.041,,,,,,,,,
0.826,0.815,,0.8205,0.011,,,,,,,,,
0.824,0.8,,0.812,0.024,,,,,,,,,
0.808,0.78,,0.794,0.028,,,,,,,,,
0.826,0.815,,0.8205,0.011,,,,,,,,,
0.846,0.815,,0.8305,0.031,,,,,,,,,
0.844,0.825,,0.8345,0.019,,,,,,,,,
0.868,0.845,,0.8565,0.023,,,,,,,,,
0.886,0.85,,0.868,0.036,,,,,,,,,
0.868,0.855,,0.8615,0.013,,,,,,,,,
0.844,0.825,,0.8345,0.019,,,,,,,,,
0.846,0.825,,0.8355,0.021,,,,,,,,,
0.842,0.83,,0.836,0.012,,,,,,,,,
0.87,0.825,,0.8475,0.045,,,,,,,,,
0.808,0.795,,0.8015,0.013,,,,,,,,,
0.846,0.835,,0.8405,0.011,,,,,,,,,
0.88,0.84,,0.86,0.04,,,,,,,,,
0.91,0.89,,0.9,0.02,,,,,,,,,
0.906,0.88,,0.893,0.026,,,,,,,,,
0.928,0.905,,0.9165,0.023,,,,,,,,,
0.924,0.895,,0.9095,0.029,,,,,,,,,
0.908,0.895,,0.9015,0.013,,,,,,,,,
0.864,0.85,,0.857,0.014,,,,,,,,,
0.904,0.875,,0.8895,0.029,,,,,,,,,
0.908,0.89,,0.899,0.018,,,,,,,,,
0.868,0.835,,0.8515,0.033,,,,,,,,,
0.886,0.865,,0.8755,0.021,,,,,,,,,
0.86,0.84,,0.85,0.02,,,,,,,,,
0.82,0.805,,0.8125,0.015,,,,,,,,,
0.86,0.845,,0.8525,0.015,,,,,,,,,
0.864,0.835,,0.8495,0.029,,,,,,,,,
0.836,0.825,,0.8305,0.011,,,,,,,,,
0.862,0.85,,0.856,0.012,,,,,,,,,
0.88,0.855,,0.8675,0.025,,,,,,,,,
0.822,0.81,,0.816,0.012,,,,,,,,,
0.798,0.795,,0.7965,0.003,,,,,,,,,
0.82,0.805,,0.8125,0.015,,,,,,,,,
0.88,0.86,,0.87,0.02,,,,,,,,,
0.918,0.89,,0.904,0.028,,,,,,,,,
0.9,0.88,,0.89,0.02,,,,,,,,,
0.942,0.94,,0.941,0.002,,,,,,,,,
0.962,0.93,,0.946,0.032,,,,,,,,,
0.878,0.865,,0.8715,0.013,,,,,,,,,
0.92,0.895,,0.9075,0.025,,,,,,,,,
0.922,0.915,,0.9185,0.007,,,,,,,,,
0.938,0.905,,0.9215,0.033,,,,,,,,,
0.878,0.865,,0.8715,0.013,,,,,,,,,
0.942,0.925,,0.9335,0.017,,,,,,,,,
0.96,0.935,,0.9475,0.025,,,,,,,,,
0.88,0.875,,0.8775,0.005,,,,,,,,,
0.9,0.865,,0.8825,0.035,,,,,,,,,
0.86,0.865,,0.8625,-0.005,,,,,,,,,
0.86,0.83,,0.845,0.03,,,,,,,,,
0.86,0.84,,0.85,0.02,,,,,,,,,
0.878,0.87,,0.874,0.008,,,,,,,,,
0.92,0.9,,0.91,0.02,,,,,,,,,
0.86,0.84,,0.85,0.02,,,,,,,,,
