,,,,,,50-70,,70-90,,90-110,,110-130,
ECG RR interval,BCG RR interval,,Mean interval,Difference,,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.964,0.855,,0.9095,0.109,,,,,,,,,
0.93,0.925,,0.9275,0.005,,,,,,,,,
0.944,0.925,,0.9345,0.019,,,,,,,,,
0.946,0.915,,0.9305,0.031,,,,,,,,,
0.946,0.91,,0.928,0.036,,,,,,,,,
0.926,0.92,,0.923,0.006,,,,,,,,,
0.966,0.935,,0.9505,0.031,,,,,,,,,
0.948,0.915,,0.9315,0.033,,,,,,,,,
0.944,0.93,,0.937,0.014,,,,,,,,,
0.966,0.945,,0.9555,0.021,,,,,,,,,
0.966,0.925,,0.9455,0.041,,,,,,,,,
0.926,0.915,,0.9205,0.011,,,,,,,,,
0.944,0.915,,0.9295,0.029,,,,,,,,,
0.968,0.935,,0.9515,0.033,,,,,,,,,
0.966,0.95,,0.958,0.016,,,,,,,,,
0.966,0.94,,0.953,0.026,,,,,,,,,
0.988,0.955,,0.9715,0.033,,,,,,,,,
0.946,0.93,,0.938,0.016,,,,,,,,,
0.964,0.94,,0.952,0.024,,,,,,,,,
0.948,0.93,,0.939,0.018,,,,,,,,,
0.966,0.915,,0.9405,0.051,,,,,,,,,
0.908,0.89,,0.899,0.018,,,,,,,,,
0.864,0.855,,0.8595,0.009,,,,,,,,,
0.868,0.845,,0.8565,0.023,,,,,,,,,
0.926,0.895,,0.9105,0.031,,,,,,,,,
0.946,0.92,,0.933,0.026,,,,,,,,,
0.946,0.925,,0.9355,0.021,,,,,,,,,
0.946,0.91,,0.928,0.036,,,,,,,,,
0.946,0.925,,0.9355,0.021,,,,,,,,,
0.946,0.92,,0.933,0.026,,,,,,,,,
0.908,0.885,,0.8965,0.023,,,,,,,,,
0.906,0.885,,0.8955,0.021,,,,,,,,,
0.868,0.84,,0.854,0.028,,,,,,,,,
1.03,0.935,,0.9825,0.095,,,,,,,,,
1.026,1,,1.013,0.026,,,,,,,,,
0.986,0.975,,0.9805,0.011,,,,,,,,,
0.97,0.925,,0.9475,0.045,,,,,,,,,
0.968,0.94,,0.954,0.028,,,,,,,,,
0.968,0.935,,0.9515,0.033,,,,,,,,,
0.968,0.94,,0.954,0.028,,,,,,,,,
0.968,0.96,,0.964,0.008,,,,,,,,,
1.01,0.98,,0.995,0.03,,,,,,,,,
1.026,0.99,,1.008,0.036,,,,,,,,,
1.03,0.995,,1.0125,0.035,,,,,,,,,
1.066,1.04,,1.053,0.026,,,,,,,,,
1.03,1.005,,1.0175,0.025,,,,,,,,,
1.006,0.99,,0.998,0.016,,,,,,,,,
1.008,0.98,,0.994,0.028,,,,,,,,,
1.01,0.975,,0.9925,0.035,,,,,,,,,
0.966,0.935,,0.9505,0.031,,,,,,,,,
0.99,0.95,,0.97,0.04,,,,,,,,,
0.968,0.955,,0.9615,0.013,,,,,,,,,
0.986,0.96,,0.973,0.026,,,,,,,,,
0.972,0.945,,0.9585,0.027,,,,,,,,,
0.964,0.935,,0.9495,0.029,,,,,,,,,
0.972,0.95,,0.961,0.022,,,,,,,,,
0.988,0.955,,0.9715,0.033,,,,,,,,,
0.926,0.91,,0.918,0.016,,,,,,,,,
0.97,0.92,,0.945,0.05,,,,,,,,,
0.926,0.92,,0.923,0.006,,,,,,,,,
0.966,0.94,,0.953,0.026,,,,,,,,,
0.972,0.94,,0.956,0.032,,,,,,,,,
0.926,0.895,,0.9105,0.031,,,,,,,,,
0.928,0.91,,0.919,0.018,,,,,,,,,
0.928,0.905,,0.9165,0.023,,,,,,,,,
0.97,0.93,,0.95,0.04,,,,,,,,,
1.12,1.03,,1.075,0.09,,,,,,,,,
1.136,3.6,,2.368,-2.464,,,,,,,,,
1.1,1.07,,1.085,0.03,,,,,,,,,
1.158,1.18,,1.169,-0.022,,,,,,,,,
1.082,1.16,,1.121,-0.078,,,,,,,,,
1.154,1.155,,1.1545,-0.001,,,,,,,,,
1.138,1.16,,1.149,-0.022,,,,,,,,,
1.116,1.175,,1.1455,-0.059,,,,,,,,,
1.102,1.175,,1.1385,-0.073,,,,,,,,,
1.156,1.15,,1.153,0.006,,,,,,,,,
1.174,1.15,,1.162,0.024,,,,,,,,,
1.134,1.205,,1.1695,-0.071,,,,,,,,,
1.118,1.19,,1.154,-0.072,,,,,,,,,
1.154,1.18,,1.167,-0.026,,,,,,,,,
1.136,1.17,,1.153,-0.034,,,,,,,,,
1.064,1.185,,1.1245,-0.121,,,,,,,,,
1.118,1.165,,1.1415,-0.047,,,,,,,,,
1.042,1.115,,1.0785,-0.073,,,,,,,,,
1.102,1.155,,1.1285,-0.053,,,,,,,,,
1.056,1.105,,1.0805,-0.049,,,,,,,,,
1.102,1.115,,1.1085,-0.013,,,,,,,,,
1.064,1.11,,1.087,-0.046,,,,,,,,,
1.096,1.11,,1.103,-0.014,,,,,,,,,
1.122,1.11,,1.116,0.012,,,,,,,,,
1.062,1.115,,1.0885,-0.053,,,,,,,,,
1.08,1.17,,1.125,-0.09,,,,,,,,,
1.082,1.145,,1.1135,-0.063,,,,,,,,,
1.082,1.095,,1.0885,-0.013,,,,,,,,,
1.064,1.115,,1.0895,-0.051,,,,,,,,,
1.08,1.095,,1.0875,-0.015,,,,,,,,,
1.06,1.11,,1.085,-0.05,,,,,,,,,
1.148,1.145,,1.1465,0.003,,,,,,,,,
1.11,1.11,,1.11,0,,,,,,,,,
1.144,1.12,,1.132,0.024,,,,,,,,,
1.15,1.13,,1.14,0.02,,,,,,,,,
1.128,1.135,,1.1315,-0.007,,,,,,,,,
1.128,1.105,,1.1165,0.023,,,,,,,,,
1.088,1.09,,1.089,-0.002,,,,,,,,,
1.128,1.105,,1.1165,0.023,,,,,,,,,
1.128,1.145,,1.1365,-0.017,,,,,,,,,
1.186,1.15,,1.168,0.036,,,,,,,,,
1.148,1.17,,1.159,-0.022,,,,,,,,,
1.188,1.155,,1.1715,0.033,,,,,,,,,
1.166,1.145,,1.1555,0.021,,,,,,,,,
1.206,1.185,,1.1955,0.021,,,,,,,,,
1.168,1.18,,1.174,-0.012,,,,,,,,,
1.188,1.19,,1.189,-0.002,,,,,,,,,
1.166,1.14,,1.153,0.026,,,,,,,,,
1.168,1.16,,1.164,0.008,,,,,,,,,
1.168,1.135,,1.1515,0.033,,,,,,,,,
1.188,1.2,,1.194,-0.012,,,,,,,,,
1.166,1.16,,1.163,0.006,,,,,,,,,
1.226,1.2,,1.213,0.026,,,,,,,,,
1.206,1.2,,1.203,0.006,,,,,,,,,
1.206,1.195,,1.2005,0.011,,,,,,,,,
1.266,1.265,,1.2655,0.001,,,,,,,,,
1.228,1.215,,1.2215,0.013,,,,,,,,,
1.224,1.19,,1.207,0.034,,,,,,,,,
1.206,1.205,,1.2055,0.001,,,,,,,,,
1.186,1.185,,1.1855,0.001,,,,,,,,,
1.204,1.195,,1.1995,0.009,,,,,,,,,
1.15,1.145,,1.1475,0.005,,,,,,,,,
1.204,1.17,,1.187,0.034,,,,,,,,,
1.188,1.2,,1.194,-0.012,,,,,,,,,
1.186,1.175,,1.1805,0.011,,,,,,,,,
1.108,1.005,,1.0565,0.103,,,,,,,,,
1.066,1.04,,1.053,0.026,,,,,,,,,
1.068,1.045,,1.0565,0.023,,,,,,,,,
1.024,1.01,,1.017,0.014,,,,,,,,,
1.066,1.03,,1.048,0.036,,,,,,,,,
1.086,1.07,,1.078,0.016,,,,,,,,,
1.13,1.1,,1.115,0.03,,,,,,,,,
1.21,1.145,,1.1775,0.065,,,,,,,,,
1.144,1.125,,1.1345,0.019,,,,,,,,,
1.15,1.115,,1.1325,0.035,,,,,,,,,
1.126,1.1,,1.113,0.026,,,,,,,,,
1.126,1.115,,1.1205,0.011,,,,,,,,,
1.132,1.095,,1.1135,0.037,,,,,,,,,
1.124,1.09,,1.107,0.034,,,,,,,,,
1.112,1.105,,1.1085,0.007,,,,,,,,,
1.144,1.105,,1.1245,0.039,,,,,,,,,
1.152,1.105,,1.1285,0.047,,,,,,,,,
1.106,1.095,,1.1005,0.011,,,,,,,,,
1.208,1.15,,1.179,0.058,,,,,,,,,
1.128,1.1,,1.114,0.028,,,,,,,,,
1.11,1.09,,1.1,0.02,,,,,,,,,
1.144,1.1,,1.122,0.044,,,,,,,,,
1.068,1.07,,1.069,-0.002,,,,,,,,,
1.086,1.04,,1.063,0.046,,,,,,,,,
1.11,1.08,,1.095,0.03,,,,,,,,,
1.082,1.065,,1.0735,0.017,,,,,,,,,
1.088,1.055,,1.0715,0.033,,,,,,,,,
1.044,1.035,,1.0395,0.009,,,,,,,,,
1.128,1.085,,1.1065,0.043,,,,,,,,,
1.11,1.075,,1.0925,0.035,,,,,,,,,
1.046,1.04,,1.043,0.006,,,,,,,,,
1.106,1.075,,1.0905,0.031,,,,,,,,,
1.038,1.06,,1.049,-0.022,,,,,,,,,
1.058,1.05,,1.054,0.008,,,,,,,,,
1.076,1.075,,1.0755,0.001,,,,,,,,,
1.062,1.05,,1.056,0.012,,,,,,,,,
1.016,1.055,,1.0355,-0.039,,,,,,,,,
1.08,1.055,,1.0675,0.025,,,,,,,,,
1.036,1.04,,1.038,-0.004,,,,,,,,,
1.06,1.08,,1.07,-0.02,,,,,,,,,
1.096,1.09,,1.093,0.006,,,,,,,,,
1.1,1.095,,1.0975,0.005,,,,,,,,,
1.076,1.085,,1.0805,-0.009,,,,,,,,,
1.136,1.115,,1.1255,0.021,,,,,,,,,
1.116,1.125,,1.1205,-0.009,,,,,,,,,
1.138,1.14,,1.139,-0.002,,,,,,,,,
1.116,1.115,,1.1155,0.001,,,,,,,,,
1.156,1.165,,1.1605,-0.009,,,,,,,,,
1.114,1.125,,1.1195,-0.011,,,,,,,,,
1.098,1.09,,1.094,0.008,,,,,,,,,
1.04,1.04,,1.04,0,,,,,,,,,
1.056,1.045,,1.0505,0.011,,,,,,,,,
1.04,1.04,,1.04,0,,,,,,,,,
1.056,1.065,,1.0605,-0.009,,,,,,,,,
0.96,0.975,,0.9675,-0.015,,,,,,,,,
0.978,0.97,,0.974,0.008,,,,,,,,,
0.92,0.935,,0.9275,-0.015,,,,,,,,,
1.022,0.995,,1.0085,0.027,,,,,,,,,
1.016,1.045,,1.0305,-0.029,,,,,,,,,
1.118,1.12,,1.119,-0.002,,,,,,,,,
1.116,1.095,,1.1055,0.021,,,,,,,,,
1.054,1.06,,1.057,-0.006,,,,,,,,,
1.038,1.04,,1.039,-0.002,,,,,,,,,
0.964,0.985,,0.9745,-0.021,,,,,,,,,
0.958,0.935,,0.9465,0.023,,,,,,,,,
0.982,0.9,,0.941,0.082,,,,,,,,,
0.978,0.95,,0.964,0.028,,,,,,,,,
0.978,0.955,,0.9665,0.023,,,,,,,,,
1.004,0.965,,0.9845,0.039,,,,,,,,,
0.96,0.95,,0.955,0.01,,,,,,,,,
1.02,0.995,,1.0075,0.025,,,,,,,,,
0.998,0.995,,0.9965,0.003,,,,,,,,,
1.04,1.025,,1.0325,0.015,,,,,,,,,
1.062,1.02,,1.041,0.042,,,,,,,,,
1.038,1.03,,1.034,0.008,,,,,,,,,
1.064,1.04,,1.052,0.024,,,,,,,,,
1.098,1.055,,1.0765,0.043,,,,,,,,,
1.022,1.04,,1.031,-0.018,,,,,,,,,
1.16,1.12,,1.14,0.04,,,,,,,,,
1.12,1.1,,1.11,0.02,,,,,,,,,
1.098,1.07,,1.084,0.028,,,,,,,,,
1.12,1.095,,1.1075,0.025,,,,,,,,,
1.04,1.04,,1.04,0,,,,,,,,,
1.08,1.045,,1.0625,0.035,,,,,,,,,
1.1,1.06,,1.08,0.04,,,,,,,,,
1.018,1.03,,1.024,-0.012,,,,,,,,,
1.1,1.065,,1.0825,0.035,,,,,,,,,
1,0.995,,0.9975,0.005,,,,,,,,,
1.04,0.995,,1.0175,0.045,,,,,,,,,
1,1,,1,0,,,,,,,,,
1.042,1.01,,1.026,0.032,,,,,,,,,
1.042,1.02,,1.031,0.022,,,,,,,,,
1.078,1.045,,1.0615,0.033,,,,,,,,,
1.022,1.02,,1.021,0.002,,,,,,,,,
1.02,1.02,,1.02,0,,,,,,,,,
1.058,1.02,,1.039,0.038,,,,,,,,,
1.062,1.025,,1.0435,0.037,,,,,,,,,
1.04,1.02,,1.03,0.02,,,,,,,,,
1.018,1.02,,1.019,-0.002,,,,,,,,,
1.02,0.99,,1.005,0.03,,,,,,,,,
0.76,0.765,,0.7625,-0.005,,,,,,,,,
1.022,0.985,,1.0035,0.037,,,,,,,,,
0.976,0.96,,0.968,0.016,,,,,,,,,
0.982,0.975,,0.9785,0.007,,,,,,,,,
0.978,0.995,,0.9865,-0.017,,,,,,,,,
0.962,0.97,,0.966,-0.008,,,,,,,,,
1,1.015,,1.0075,-0.015,,,,,,,,,
1,1,,1,0,,,,,,,,,
1.038,1.025,,1.0315,0.013,,,,,,,,,
1.062,1.035,,1.0485,0.027,,,,,,,,,
1.02,1.025,,1.0225,-0.005,,,,,,,,,
1.06,1.065,,1.0625,-0.005,,,,,,,,,
1.1,1.075,,1.0875,0.025,,,,,,,,,
1.02,1.055,,1.0375,-0.035,,,,,,,,,
1.122,1.115,,1.1185,0.007,,,,,,,,,
1.116,1.105,,1.1105,0.011,,,,,,,,,
1.062,1.095,,1.0785,-0.033,,,,,,,,,
1.102,1.09,,1.096,0.012,,,,,,,,,
1.078,1.085,,1.0815,-0.007,,,,,,,,,
1.082,1.055,,1.0685,0.027,,,,,,,,,
1.08,1.08,,1.08,0,,,,,,,,,
1.038,1.035,,1.0365,0.003,,,,,,,,,
1.078,1.075,,1.0765,0.003,,,,,,,,,
1,1.01,,1.005,-0.01,,,,,,,,,
1.002,1.01,,1.006,-0.008,,,,,,,,,
1.02,1.01,,1.015,0.01,,,,,,,,,
1.002,1.01,,1.006,-0.008,,,,,,,,,
1.04,1.05,,1.045,-0.01,,,,,,,,,
1.076,1.06,,1.068,0.016,,,,,,,,,
1.004,1.025,,1.0145,-0.021,,,,,,,,,
1.038,1.02,,1.029,0.018,,,,,,,,,
1.02,1.02,,1.02,0,,,,,,,,,
1.02,1.025,,1.0225,-0.005,,,,,,,,,
1.022,1.025,,1.0235,-0.003,,,,,,,,,
1.036,1.015,,1.0255,0.021,,,,,,,,,
1.002,1.015,,1.0085,-0.013,,,,,,,,,
0.904,0.905,,0.9045,-0.001,,,,,,,,,
0.92,0.905,,0.9125,0.015,,,,,,,,,
0.9,0.905,,0.9025,-0.005,,,,,,,,,
0.924,0.92,,0.922,0.004,,,,,,,,,
0.922,0.925,,0.9235,-0.003,,,,,,,,,
0.96,0.97,,0.965,-0.01,,,,,,,,,
0.96,0.965,,0.9625,-0.005,,,,,,,,,
0.996,0.99,,0.993,0.006,,,,,,,,,
0.984,0.99,,0.987,-0.006,,,,,,,,,
1.02,1.005,,1.0125,0.015,,,,,,,,,
1,0.995,,0.9975,0.005,,,,,,,,,
0.98,0.995,,0.9875,-0.015,,,,,,,,,
1.018,1.015,,1.0165,0.003,,,,,,,,,
1.022,1.015,,1.0185,0.007,,,,,,,,,
1,1,,1,0,,,,,,,,,
0.998,1.01,,1.004,-0.012,,,,,,,,,
0.962,0.96,,0.961,0.002,,,,,,,,,
0.904,0.9,,0.902,0.004,,,,,,,,,
0.942,0.93,,0.936,0.012,,,,,,,,,
0.938,0.95,,0.944,-0.012,,,,,,,,,
0.982,0.98,,0.981,0.002,,,,,,,,,
1.018,1.005,,1.0115,0.013,,,,,,,,,
1.04,1.07,,1.055,-0.03,,,,,,,,,
1.082,1.065,,1.0735,0.017,,,,,,,,,
1.056,1.065,,1.0605,-0.009,,,,,,,,,
1.096,1.085,,1.0905,0.011,,,,,,,,,
1.02,1.035,,1.0275,-0.015,,,,,,,,,
1.042,1.02,,1.031,0.022,,,,,,,,,
0.962,0.985,,0.9735,-0.023,,,,,,,,,
0.978,0.975,,0.9765,0.003,,,,,,,,,
1,0.99,,0.995,0.01,,,,,,,,,
0.98,0.98,,0.98,4.00E-15,,,,,,,,,
0.944,0.925,,0.9345,0.019,,,,,,,,,
0.922,0.935,,0.9285,-0.013,,,,,,,,,
0.94,0.935,,0.9375,0.005,,,,,,,,,
0.96,0.94,,0.95,0.02,,,,,,,,,
0.922,0.95,,0.936,-0.028,,,,,,,,,
0.94,0.945,,0.9425,-0.005,,,,,,,,,
0.94,0.915,,0.9275,0.025,,,,,,,,,
0.924,0.94,,0.932,-0.016,,,,,,,,,
0.938,0.95,,0.944,-0.012,,,,,,,,,
0.96,0.95,,0.955,0.01,,,,,,,,,
0.958,0.965,,0.9615,-0.007,,,,,,,,,
0.942,0.95,,0.946,-0.008,,,,,,,,,
0.996,0.975,,0.9855,0.021,,,,,,,,,
0.982,1,,0.991,-0.018,,,,,,,,,
1.016,1.02,,1.018,-0.004,,,,,,,,,
0.98,0.97,,0.975,0.01,,,,,,,,,
1.02,1.025,,1.0225,-0.005,,,,,,,,,
0.98,0.98,,0.98,0,,,,,,,,,
0.962,0.965,,0.9635,-0.003,,,,,,,,,
0.92,0.915,,0.9175,0.005,,,,,,,,,
0.922,0.935,,0.9285,-0.013,,,,,,,,,
0.938,0.925,,0.9315,0.013,,,,,,,,,
0.94,0.94,,0.94,9.99E-16,,,,,,,,,
0.882,0.895,,0.8885,-0.013,,,,,,,,,
0.842,0.835,,0.8385,0.007,,,,,,,,,
0.806,0.805,,0.8055,0.001,,,,,,,,,
0.924,0.91,,0.917,0.014,,,,,,,,,
0.9,0.935,,0.9175,-0.035,,,,,,,,,
0.998,0.965,,0.9815,0.033,,,,,,,,,
0.96,0.97,,0.965,-0.01,,,,,,,,,
0.94,0.955,,0.9475,-0.015,,,,,,,,,
0.922,0.9,,0.911,0.022,,,,,,,,,
0.88,0.905,,0.8925,-0.025,,,,,,,,,
0.772,0.745,,0.7585,0.027,,,,,,,,,
0.79,0.775,,0.7825,0.015,,,,,,,,,
0.794,0.765,,0.7795,0.029,,,,,,,,,
0.792,0.77,,0.781,0.022,,,,,,,,,
0.792,0.755,,0.7735,0.037,,,,,,,,,
0.792,0.76,,0.776,0.032,,,,,,,,,
0.75,0.735,,0.7425,0.015,,,,,,,,,
0.772,0.74,,0.756,0.032,,,,,,,,,
0.776,0.735,,0.7555,0.041,,,,,,,,,
0.788,0.77,,0.779,0.018,,,,,,,,,
0.814,0.785,,0.7995,0.029,,,,,,,,,
0.832,0.815,,0.8235,0.017,,,,,,,,,
0.856,0.815,,0.8355,0.041,,,,,,,,,
0.834,0.805,,0.8195,0.029,,,,,,,,,
0.836,0.795,,0.8155,0.041,,,,,,,,,
0.834,0.8,,0.817,0.034,,,,,,,,,
0.832,0.82,,0.826,0.012,,,,,,,,,
0.852,0.825,,0.8385,0.027,,,,,,,,,
0.836,0.805,,0.8205,0.031,,,,,,,,,
0.812,0.78,,0.796,0.032,,,,,,,,,
0.81,0.785,,0.7975,0.025,,,,,,,,,
0.814,0.77,,0.792,0.044,,,,,,,,,
0.834,0.81,,0.822,0.024,,,,,,,,,
0.834,0.8,,0.817,0.034,,,,,,,,,
0.834,0.815,,0.8245,0.019,,,,,,,,,
0.834,0.79,,0.812,0.044,,,,,,,,,
0.812,0.79,,0.801,0.022,,,,,,,,,
0.812,0.795,,0.8035,0.017,,,,,,,,,
0.852,0.815,,0.8335,0.037,,,,,,,,,
0.876,0.84,,0.858,0.036,,,,,,,,,
0.874,0.85,,0.862,0.024,,,,,,,,,
0.854,0.83,,0.842,0.024,,,,,,,,,
0.72,0.72,,0.72,0,,,,,,,,,
0.74,0.725,,0.7325,0.015,,,,,,,,,
0.78,0.755,,0.7675,0.025,,,,,,,,,
0.78,0.775,,0.7775,0.005,,,,,,,,,
0.818,0.805,,0.8115,0.013,,,,,,,,,
0.842,0.805,,0.8235,0.037,,,,,,,,,
0.798,0.79,,0.794,0.008,,,,,,,,,
0.802,0.785,,0.7935,0.017,,,,,,,,,
0.8,0.785,,0.7925,0.015,,,,,,,,,
0.818,0.8,,0.809,0.018,,,,,,,,,
0.802,0.79,,0.796,0.012,,,,,,,,,
0.82,0.795,,0.8075,0.025,,,,,,,,,
0.8,0.8,,0.8,0,,,,,,,,,
0.82,0.8,,0.81,0.02,,,,,,,,,
0.82,0.81,,0.815,0.01,,,,,,,,,
0.84,0.81,,0.825,0.03,,,,,,,,,
0.838,0.825,,0.8315,0.013,,,,,,,,,
0.842,0.815,,0.8285,0.027,,,,,,,,,
0.82,0.82,,0.82,0,,,,,,,,,
0.84,0.82,,0.83,0.02,,,,,,,,,
0.84,0.825,,0.8325,0.015,,,,,,,,,
0.84,0.825,,0.8325,0.015,,,,,,,,,
0.86,0.84,,0.85,0.02,,,,,,,,,
0.84,0.83,,0.835,0.01,,,,,,,,,
0.84,0.825,,0.8325,0.015,,,,,,,,,
0.858,0.835,,0.8465,0.023,,,,,,,,,
0.84,0.835,,0.8375,0.005,,,,,,,,,
0.88,0.85,,0.865,0.03,,,,,,,,,
0.862,0.845,,0.8535,0.017,,,,,,,,,
0.86,0.855,,0.8575,0.005,,,,,,,,,
0.86,0.83,,0.845,0.03,,,,,,,,,
0.862,0.84,,0.851,0.022,,,,,,,,,
0.818,0.805,,0.8115,0.013,,,,,,,,,
0.74,0.73,,0.735,0.01,,,,,,,,,
0.8,0.795,,0.7975,0.005,,,,,,,,,
0.84,0.82,,0.83,0.02,,,,,,,,,
0.82,0.795,,0.8075,0.025,,,,,,,,,
0.82,0.805,,0.8125,0.015,,,,,,,,,
0.822,0.8,,0.811,0.022,,,,,,,,,
0.8,0.785,,0.7925,0.015,,,,,,,,,
0.776,0.775,,0.7755,0.001,,,,,,,,,
0.804,0.785,,0.7945,0.019,,,,,,,,,
0.818,0.795,,0.8065,0.023,,,,,,,,,
0.798,0.78,,0.789,0.018,,,,,,,,,
0.784,0.765,,0.7745,0.019,,,,,,,,,
0.798,0.79,,0.794,0.008,,,,,,,,,
0.8,0.79,,0.795,0.01,,,,,,,,,
0.82,0.81,,0.815,0.01,,,,,,,,,
0.842,0.815,,0.8285,0.027,,,,,,,,,
0.816,0.8,,0.808,0.016,,,,,,,,,
0.842,0.82,,0.831,0.022,,,,,,,,,
0.798,0.8,,0.799,-0.002,,,,,,,,,
0.84,0.81,,0.825,0.03,,,,,,,,,
0.822,0.82,,0.821,0.002,,,,,,,,,
0.86,0.82,,0.84,0.04,,,,,,,,,
0.8,0.795,,0.7975,0.005,,,,,,,,,
0.84,0.82,,0.83,0.02,,,,,,,,,
0.838,0.83,,0.834,0.008,,,,,,,,,
0.842,0.83,,0.836,0.012,,,,,,,,,
0.818,0.8,,0.809,0.018,,,,,,,,,
0.842,0.815,,0.8285,0.027,,,,,,,,,
0.82,0.815,,0.8175,0.005,,,,,,,,,
0.82,0.79,,0.805,0.03,,,,,,,,,
0.802,0.805,,0.8035,-0.003,,,,,,,,,
0.816,0.795,,0.8055,0.021,,,,,,,,,
0.802,0.79,,0.796,0.012,,,,,,,,,
0.82,0.805,,0.8125,0.015,,,,,,,,,
0.638,0.64,,0.639,-0.002,,,,,,,,,
0.662,0.64,,0.651,0.022,,,,,,,,,
0.658,0.645,,0.6515,0.013,,,,,,,,,
0.662,0.65,,0.656,0.012,,,,,,,,,
0.698,0.695,,0.6965,0.003,,,,,,,,,
0.704,0.675,,0.6895,0.029,,,,,,,,,
0.678,0.67,,0.674,0.008,,,,,,,,,
0.678,0.665,,0.6715,0.013,,,,,,,,,
0.684,0.675,,0.6795,0.009,,,,,,,,,
0.678,0.66,,0.669,0.018,,,,,,,,,
0.66,0.655,,0.6575,0.005,,,,,,,,,
0.68,0.655,,0.6675,0.025,,,,,,,,,
0.66,0.645,,0.6525,0.015,,,,,,,,,
0.64,0.64,,0.64,0,,,,,,,,,
0.678,0.655,,0.6665,0.023,,,,,,,,,
0.662,0.655,,0.6585,0.007,,,,,,,,,
0.638,0.63,,0.634,0.008,,,,,,,,,
0.642,0.625,,0.6335,0.017,,,,,,,,,
0.64,0.625,,0.6325,0.015,,,,,,,,,
0.658,0.65,,0.654,0.008,,,,,,,,,
0.662,0.65,,0.656,0.012,,,,,,,,,
0.66,0.65,,0.655,0.01,,,,,,,,,
0.68,0.66,,0.67,0.02,,,,,,,,,
0.682,0.67,,0.676,0.012,,,,,,,,,
0.676,0.66,,0.668,0.016,,,,,,,,,
0.662,0.645,,0.6535,0.017,,,,,,,,,
0.658,0.66,,0.659,-0.002,,,,,,,,,
0.662,0.635,,0.6485,0.027,,,,,,,,,
0.66,0.65,,0.655,0.01,,,,,,,,,
0.66,0.645,,0.6525,0.015,,,,,,,,,
0.662,0.65,,0.656,0.012,,,,,,,,,
0.678,0.66,,0.669,0.018,,,,,,,,,
0.658,0.66,,0.659,-0.002,,,,,,,,,
0.662,0.65,,0.656,0.012,,,,,,,,,
0.682,0.65,,0.666,0.032,,,,,,,,,
0.658,0.655,,0.6565,0.003,,,,,,,,,
0.68,0.655,,0.6675,0.025,,,,,,,,,
0.68,0.67,,0.675,0.01,,,,,,,,,
0.702,0.68,,0.691,0.022,,,,,,,,,
0.678,0.685,,0.6815,-0.007,,,,,,,,,
0.656,0.625,,0.6405,0.031,,,,,,,,,
0.764,0.77,,0.767,-0.006,,,,,,,,,
0.794,0.775,,0.7845,0.019,,,,,,,,,
0.786,0.795,,0.7905,-0.009,,,,,,,,,
0.832,0.815,,0.8235,0.017,,,,,,,,,
0.806,0.81,,0.808,-0.004,,,,,,,,,
0.79,0.785,,0.7875,0.005,,,,,,,,,
0.79,0.785,,0.7875,0.005,,,,,,,,,
0.81,0.795,,0.8025,0.015,,,,,,,,,
0.81,0.805,,0.8075,0.005,,,,,,,,,
0.828,0.825,,0.8265,0.003,,,,,,,,,
0.812,0.81,,0.811,0.002,,,,,,,,,
0.81,0.805,,0.8075,0.005,,,,,,,,,
0.808,0.805,,0.8065,0.003,,,,,,,,,
0.792,0.78,,0.786,0.012,,,,,,,,,
0.788,0.775,,0.7815,0.013,,,,,,,,,
0.788,0.795,,0.7915,-0.007,,,,,,,,,
0.83,0.805,,0.8175,0.025,,,,,,,,,
0.786,0.795,,0.7905,-0.009,,,,,,,,,
0.788,0.785,,0.7865,0.003,,,,,,,,,
0.792,0.785,,0.7885,0.007,,,,,,,,,
0.83,0.83,,0.83,0,,,,,,,,,
0.888,0.87,,0.879,0.018,,,,,,,,,
0.888,0.875,,0.8815,0.013,,,,,,,,,
0.83,0.83,,0.83,0,,,,,,,,,
0.808,0.82,,0.814,-0.012,,,,,,,,,
0.832,0.82,,0.826,0.012,,,,,,,,,
0.83,0.815,,0.8225,0.015,,,,,,,,,
0.81,0.81,,0.81,0,,,,,,,,,
0.788,0.78,,0.784,0.008,,,,,,,,,
0.79,0.785,,0.7875,0.005,,,,,,,,,
0.808,0.8,,0.804,0.008,,,,,,,,,
0.792,0.78,,0.786,0.012,,,,,,,,,
0.77,0.77,,0.77,0,,,,,,,,,
0.77,0.76,,0.765,0.01,,,,,,,,,
0.768,0.775,,0.7715,-0.007,,,,,,,,,
0.772,0.77,,0.771,0.002,,,,,,,,,
0.81,0.79,,0.8,0.02,,,,,,,,,
0.866,0.87,,0.868,-0.004,,,,,,,,,
0.89,0.88,,0.885,0.01,,,,,,,,,
0.868,0.855,,0.8615,0.013,,,,,,,,,
0.868,0.86,,0.864,0.008,,,,,,,,,
0.848,0.85,,0.849,-0.002,,,,,,,,,
0.83,0.82,,0.825,0.01,,,,,,,,,
0.846,0.84,,0.843,0.006,,,,,,,,,
0.83,0.835,,0.8325,-0.005,,,,,,,,,
0.868,0.85,,0.859,0.018,,,,,,,,,
0.848,0.86,,0.854,-0.012,,,,,,,,,
0.852,0.845,,0.8485,0.007,,,,,,,,,
0.806,0.795,,0.8005,0.011,,,,,,,,,
0.848,0.84,,0.844,0.008,,,,,,,,,
