Time_s,Ground_Truth_Amplitude,Measured_Amplitude,Frequency_Hz,Measured_PSD_dBHz,Ground_Truth_PSD_dBHz
0.028,0.431740785337623,0.553819960760575,13.671875,-59.4667863623862,-61.6195757499907
0.029,0.426518046695757,0.557401289159127,14.16015625,-80.0849331510329,-66.3083306162828
0.03,0.418068186757073,0.560765322777698,14.6484375,-61.3087134619853,-64.0770038301457
0.031,0.416910804523753,0.563915014219036,15.13671875,-57.8112519014796,-65.4909256917448
0.032,0.41367661685847,0.566853784701988,15.625,-59.91862356324,-61.1618320487346
0.033,0.405124507630443,0.569585499325467,16.11328125,-72.9646351200834,-69.0546203040955
0.034,0.428193877423273,0.572114441229026,16.6015625,-63.7562488354529,-65.3300622453542
0.035,0.41867608533557,0.574445284810508,17.08984375,-59.0179624748199,-65.3722236587785
0.036,0.407132624554447,0.576583068171568,17.578125,-60.2590758219627,-64.3426047826016
0.037,0.4140781318548,0.57853316496794,18.06640625,-69.8977910295316,-69.8488219353387
0.038,0.41077911767432,0.580301255840484,18.5546875,-66.4638044052505,-69.787719114957
0.039,0.413802334848083,0.581893299595907,19.04296875,-60.2644527641087,-65.3006908820527
0.04,0.402067325102273,0.583315504295008,19.53125,-60.6373652701705,-65.8039180343796
0.041,0.425889742341063,0.584574298392799,20.01953125,-68.0716791954044,-71.1932060420028
0.042,0.418479412298967,0.585676302059099,20.5078125,-69.696720924154,-73.298607580131
0.043,0.43510920179559,0.586628298789796,20.99609375,-61.533053789153,-66.8345341812848
0.044,0.4437038780007,0.587437207399203,21.484375,-61.0958737522772,-65.903075346549
0.045,0.433283643735383,0.588110054464802,21.97265625,-66.8886699303814,-67.9432936633678
0.046,0.443967818182063,0.588653947279663,22.4609375,-73.9050782904002,-70.4208258047478
0.047,0.443918225128293,0.589076047356231,22.94921875,-62.8841952029528,-65.7413597935125
0.048,0.430663895945087,0.589383544518889,23.4375,-61.6121738195966,-68.0490995844033
0.049,0.423356844158857,0.589583631621867,23.92578125,-66.0835531855814,-69.7881438968503
0.05,0.411098681694277,0.589683479933443,24.4140625,-80.3528242604115,-69.7985847635393
0.051,0.41739286475795,0.58969021523543,24.90234375,-64.3472689225029,-65.6213968533669
0.052,0.408892883686767,0.589610894696281,25.390625,-62.1865007609407,-65.400553067807
0.053,0.414260362446467,0.589452484583542,25.87890625,-65.5634404777256,-69.0402199421949
0.054,0.403481533236697,0.589221838884802,26.3671875,-90.6538821931625,-70.3696067814063
0.055,0.404718983635717,0.588925678905548,26.85546875,-65.9586818587201,-70.9040428453309
0.056,0.39753825218152,0.588570573908652,27.34375,-62.8285467646142,-67.2465211923031
0.057,0.427861495877487,0.588162922855801,27.83203125,-65.2435651444232,-69.3589941211552
0.058,0.414051764513803,0.587708937306764,28.3203125,-81.0867207534334,-78.6588903075488
0.059,0.424818668665163,0.587214625527419,28.80859375,-67.7785381021913,-73.4421393315475
0.06,0.422505754764587,0.586685777850406,29.296875,-63.5455840097027,-67.3403230692646
0.061,0.428590517309187,0.58612795332272,29.78515625,-65.0816892797192,-72.1041805338113
0.062,0.43016709997682,0.58554646766319,30.2734375,-76.1603936700337,-74.8057088511932
0.063,0.448958838237017,0.584946382541369,30.76171875,-69.8954542297425,-75.6645584127355
0.064,0.425634290763897,0.584332496180225,31.25,-64.3459105782846,-68.9382740861362
0.065,0.43465448273858,0.583709335279119,31.73828125,-65.0508966187831,-69.6117278352094
0.066,0.41426910793472,0.583081148249293,32.2265625,-73.3904671145307,-73.8969976024522
0.067,0.43782080484919,0.582451899748213,32.71484375,-72.4601769703729,-72.8230756622829
0.068,0.429383485940887,0.58182526648946,33.203125,-65.2419772824649,-73.7661420275072
0.069,0.435092935965667,0.581204634292783,33.69140625,-65.1348944704672,-69.0424124665997
0.07,0.425043657508147,0.580593096328942,34.1796875,-71.5860077112869,-76.4270381629702
0.071,0.426696926245887,0.579993452510717,34.66796875,-75.7719417099927,-73.4810644688764
0.072,0.430390134588387,0.579408209985578,35.15625,-66.2487868352626,-69.2199133919926
0.073,0.414667795272203,0.578839584693456,35.64453125,-65.3229135399173,-68.9866221151335
0.074,0.43335606498217,0.578289503959336,36.1328125,-70.3337883718919,-75.0637700275542
0.075,0.401523120533573,0.57775961009269,36.62109375,-80.5696949163063,-72.1195138776771
0.076,0.440056223705557,0.577251264965137,37.109375,-67.3874816545778,-70.4380591009367
0.077,0.403884862128883,0.576765555538206,37.59765625,-65.6093837013123,-70.5374897666382
0.078,0.424269792387287,0.576303300317407,38.0859375,-69.443322499925,-73.2307947927521
0.079,0.42408582184073,0.575865056716339,38.57421875,-89.446232743617,-77.2397566294947
0.08,0.415218894724927,0.575451129320876,39.0625,-68.6871556281973,-73.9988166109262
0.081,0.434138279402863,0.575061579043242,39.55078125,-65.9921752182036,-71.3127367107203
0.082,0.426685336668497,0.574696233146035,40.0390625,-68.8133085640867,-69.5872711848624
0.083,0.43639733286025,0.574354696098183,40.52734375,-88.7795954399877,-74.0412234760618
0.084,0.440063549224873,0.574036361203595,41.015625,-70.1910992923355,-74.5520964398894
0.085,0.437428318035707,0.573740422924357,41.50390625,-66.4717806074702,-70.838021173773
0.086,0.423108707711337,0.573465889807344,41.9921875,-68.3840588422672,-72.5927119828916
0.087,0.44673552995942,0.573211597916345,42.48046875,-81.3520162028208,-74.8341939938888
0.088,0.431553968176443,0.572976224670381,42.96875,-71.965969883232,-73.3915472228191
0.089,0.411905679649023,0.572758302991429,43.45703125,-67.0520550611105,-69.5084831372098
0.09,0.430233353221117,0.572556235669904,43.9453125,-68.1181960586555,-73.2617705191192
0.091,0.396898149262883,0.572368309862511,44.43359375,-77.6079790060076,-76.532342862476
0.092,0.402423849101557,0.57219271164311,44.921875,-74.1228196672616,-76.1965273972116
0.093,0.40882577642667,0.57202754053245,45.41015625,-67.7398990810178,-72.270864309193
0.094,0.392367585279377,0.571870823937582,45.8984375,-67.9916816839855,-73.1760326889914
0.095,0.393560723093853,0.571720531437808,46.38671875,-75.2560927435896,-76.2633702595492
0.096,0.40572141958011,0.571574588861825,46.875,-76.8687469532482,-75.9181632989166
0.097,0.41571246199043,0.571430892109601,47.36328125,-68.5460018563833,-74.4298602804309
0.098,0.4127949703374,0.571287320680652,47.8515625,-67.988824952546,-72.473202625624
0.099,0.428765919198793,0.571141750875947,48.33984375,-73.6290414145866,-77.2956569055288
0.1,0.442614468603813,0.570992068642431,48.828125,-80.6597566884073,-76.3840912376528
0.101,0.415354575933863,0.570836182027374,49.31640625,-69.4862101318863,-58.8134561642484
0.102,0.42279412277191,0.570672033205319,49.8046875,-68.0997045703625,-50.7436501502241
0.103,0.426274170556653,0.570497610035068,50.29296875,-72.4530907486906,-51.7914626127803
0.104,0.445624764909463,0.57031095709929,50.78125,-86.8378493265809,-61.1596420714996
0.105,0.42777874732209,0.570110186176032,51.26953125,-70.5835203431461,-74.3409442606851
0.106,0.437305886239397,0.569893486089757,51.7578125,-68.3186911645407,-71.8542978483442
0.107,0.434343118258493,0.569659131889592,52.24609375,-71.5908565911927,-74.7999572009234
0.108,0.434053538927423,0.56940549330435,52.734375,-96.6033110584362,-76.6065170380032
0.109,0.424526232862697,0.569131042428911,53.22265625,-71.8720106754286,-74.2479926546874
0.11,0.425611335916847,0.568834360605745,53.7109375,-68.6436658176439,-71.1519260474405
0.111,0.41267671037451,0.568514144478532,54.19921875,-70.9643364050299,-74.2587897180071
0.112,0.41744742075391,0.568169211209996,54.6875,-86.5858886122468,-76.0680753160528
0.113,0.413828005493487,0.567798502870918,55.17578125,-73.403816891977,-77.4766413756518
0.114,0.397937121421567,0.567401090020432,55.6640625,-69.0757102235385,-71.3819129559589
0.115,0.393847271662417,0.566976174508352,56.15234375,-70.5257622721715,-73.2812223439447
0.116,0.42903040512107,0.566523091537378,56.640625,-81.4615451682645,-77.4943268114808
0.117,0.42052800987713,0.566041311025491,57.12890625,-75.2635499917744,-78.0719132559618
0.118,0.40269014005371,0.565530438306093,57.6171875,-69.6190864349161,-73.8283954558561
0.119,0.412513338203777,0.564990214196626,58.10546875,-70.2444226233875,-75.5127098539524
0.12,0.422158715795907,0.564420514457649,58.59375,-78.4729299631942,-74.6138630760848
0.121,0.420927181654487,0.563821348655705,59.08203125,-77.6006870680426,-74.984421369365
0.122,0.43829948093678,0.563192858435734,59.5703125,-70.2816998112081,-75.1354566265868
0.123,0.438738503937947,0.562535315203584,60.05859375,-70.1001139374212,-77.6906209604355
0.124,0.441901593055357,0.561849117218071,60.546875,-76.459255540793,-74.44855755236
0.125,0.461107416002773,0.561134786096936,61.03515625,-80.7165858406082,-76.2878130510905
0.126,0.44678958388743,0.56039296275209,61.5234375,-71.0759585339383,-74.2440464877359
0.127,0.42347320229837,0.559624402784039,62.01171875,-70.0796238308693,-74.9610309211494
0.128,0.42775713087601,0.558829971378732,62.5,-75.0104583458777,-77.5146904658477
0.129,0.431913572683037,0.55801063775791,62.98828125,-85.366741942631,-79.8188538395073
0.13,0.414504711663223,0.557167469234566,63.4765625,-72.0203987197971,-72.9671057003645
0.131,0.422660986549587,0.556301624919942,63.96484375,-70.1747539181302,-73.9332253449936
0.132,0.422623859258553,0.555414349119749,64.453125,-73.9371653754248,-76.0837640337293
0.133,0.40012432631031,0.55450696444778,64.94140625,-94.2262327681503,-80.7490432910282
0.134,0.412357987853097,0.553580864676767,65.4296875,-73.142521830374,-76.3855583974646
0.135,0.4217595306289,0.552637507341206,65.91796875,-70.3812229570894,-73.3202154486056
0.136,0.408451763788697,0.551678406106061,66.40625,-73.1372416662371,-73.112864443072
0.137,0.418001673591007,0.550705122918695,66.89453125,-92.8117375295881,-76.6125011507267
0.138,0.40845362181362,0.549719259967565,67.3828125,-74.4839861333455,-76.0412042058152
0.139,0.430112236366977,0.548722451477823,67.87109375,-70.6981035701692,-74.2590442180525
0.14,0.43317760880513,0.547716355379087,68.359375,-72.5500219512058,-75.8295339010543
0.141,0.428454125293003,0.546702644883411,68.84765625,-85.3701596099115,-78.9988772346326
0.142,0.419298602359643,0.545683000012405,69.3359375,-76.1106335612088,-75.8095493934445
0.143,0.423771703944827,0.54465909911288,69.82421875,-71.1276787773862,-74.535331315897
0.144,0.414665372797037,0.543632610401075,70.3125,-72.1371794152928,-77.4115781314407
0.145,0.421951073732773,0.542605183576289,70.80078125,-81.5262942986822,-78.618597359184
0.146,0.414704281519267,0.541578441544284,71.2890625,-78.1338991178047,-77.0786473692112
0.147,0.44106055940644,0.54055397228858,71.77734375,-71.675654844061,-74.3189161976234
0.148,0.438019309956697,0.539533320925328,72.265625,-71.8736145105286,-75.0549883950958
0.149,0.443409458017947,0.53851798197803,72.75390625,-79.0591874433837,-76.1528138255609
0.15,0.421809430289393,0.537509391914582,73.2421875,-80.7632427251954,-75.905762646013
0.151,0.40642492000936,0.536508922000514,73.73046875,-72.3517859786707,-76.0587358199055
0.152,0.395303475084443,0.535517871535931,74.21875,-71.7427211052347,-74.844826365226
0.153,0.417394829746773,0.534537461555207,74.70703125,-77.316634934205,-78.9332265343802
0.154,0.40129533014704,0.533568829075132,75.1953125,-84.4642427071421,-76.1806381860015
0.155,0.406647875655023,0.532613021978297,75.68359375,-73.1710850854129,-74.8611132427472
0.156,0.389676214065903,0.531670994615192,76.171875,-71.7337706189477,-75.9529764723799
0.157,0.39256829580648,0.530743604201858,76.66015625,-76.0290008118723,-76.5806360683748
0.158,0.401129426949737,0.529831608079778,77.1484375,-90.6219832087572,-77.6963010131562
0.159,0.419565545808777,0.528935661890128,77.63671875,-74.1559764699136,-74.2746633651181
0.16,0.436398597155383,0.528056318694982,78.125,-71.8404319267886,-74.6098680708808
0.161,0.42655934335105,0.527194029054764,78.61328125,-75.0600679480201,-73.8134189325261
0.162,0.438756609394353,0.5263491420468,79.1015625,-99.9462182383338,-75.68944455384
0.163,0.4236504616643,0.525521907187103,79.58984375,-75.3401347101603,-76.3495915055807
0.164,0.437859620327097,0.524712477198545,80.078125,-72.0599740202969,-74.7214382996346
0.165,0.446383994879903,0.52392091155411,80.56640625,-74.3321602504734,-76.8391311918274
0.166,0.441453553696783,0.523147180713858,81.0546875,-89.7657506639517,-76.6998198230294
0.167,0.437846908538287,0.522391170969133,81.54296875,-76.7756841352837,-75.5645542503098
0.168,0.430774766070053,0.521652689807928,82.03125,-72.3929226794063,-72.8341716000147
0.169,0.444083155822597,0.520931471721307,82.51953125,-73.7974286635906,-75.0828393953424
