Plot_Time_s,PPG_Signal,BCG_Signal,HR_Time_PPG_s,HR_PPG_BPM,HR_Time_BCG_s,HR_BCG_BPM,HR_Time_Ref_s,HR_Ref_BPM
0,0.561188811188795,-0.393549364021805,0,89.5522388059702,0,89.0207715133531,0,90.3614457831325
0.00199999999999978,0.568993506493491,-0.407339707536558,0.974,89.5522388059702,1.254,89.0207715133531,0.988,90.3614457831325
0.00400000000000045,0.556818181818154,-0.42257217847769,1.676,85.4700854700855,1.938,87.7192982456141,1.678,86.9565217391305
0.00600000000000023,0.541091720779192,-0.437438484251968,2.354,88.4955752212388,2.62,87.9765395894427,2.354,88.7573964497042
0.00800000000000001,0.536764705882326,-0.452003242241778,2.832,125.523012552301,3.302,87.976539589443,3.042,87.2093023255813
0.00999999999999979,0.537427849927831,-0.464949693788276,3.69,69.93006993007,3.968,90.09009009009,3.714,89.2857142857142
0.0120000000000005,0.54229323308269,-0.477828429341069,4.354,90.3614457831323,4.618,92.3076923076923,4.372,91.1854103343466
0.0140000000000002,0.540584415584406,-0.490649606299212,5.014,90.9090909090911,5.272,91.7431192660551,5.028,91.4634146341463
0.016,0.539038342609753,-0.502249718785152,5.672,91.1854103343463,5.95,88.4955752212388,5.68,92.0245398773007
0.0179999999999998,0.535788075560787,-0.515032211882605,6.386,84.0336134453781,6.66,84.5070422535212,6.414,81.7438692098093
0.0200000000000005,0.527526821005075,-0.52670318384115,7.072,87.463556851312,7.384,82.8729281767956,7.13,83.7988826815641
0.0220000000000002,0.526718073593063,-0.539452099737532,7.834,78.7401574803151,8.102,83.5654596100279,7.856,82.6446280991737
0.024,0.521103896103878,-0.5501968503937,8.528,86.4553314121036,8.806,85.2272727272726,8.572,83.7988826815643
0.0259999999999998,0.514610389610399,-0.575787401574803,9.226,85.9598853868194,9.488,87.976539589443,9.25,88.4955752212388
0.0280000000000005,0.516233766233766,-0.601377952755905,9.894,89.8203592814372,10.16,89.2857142857142,9.916,90.09009009009
0.0300000000000002,0.519480519480511,-0.625,10.528,94.6372239747636,10.832,89.2857142857142,10.588,89.2857142857142
0.032,0.525974025974024,-0.64763779527559,11.768,48.3870967741935,11.502,89.5522388059704,11.288,85.7142857142858
0.0339999999999998,0.542207792207795,-0.668307086614173,12.506,81.3008130081301,12.152,92.307692307692,11.93,93.4579439252337
0.0360000000000005,0.538961038961039,-0.68996062992126,13.164,91.1854103343463,12.8,92.5925925925926,12.574,93.1677018633538
