Plot_Time_s,PPG_Signal,BCG_Signal,HR_Time_PPG_s,HR_PPG_BPM,HR_Time_BCG_s,HR_BCG_BPM,HR_Time_Ref_s,HR_Ref_BPM
0,0.889239176124429,0.858237981949322,0,91.7431192660549,0,85.7142857142857,0,84.2696629213482
0.00199999999999978,0.891491022638566,0.861070201276387,1.084,91.7431192660549,1.42,85.7142857142857,0.99,84.2696629213482
0.00400000000000045,0.893442622950826,0.863524791359843,1.844,78.9473684210527,2.126,84.985835694051,1.672,87.9765395894429
0.00600000000000023,0.886612021857923,0.861070201276387,2.566,83.1024930747922,2.814,87.2093023255813,2.4,82.4175824175823
0.00800000000000001,0.872549019607843,0.861792139536227,3.206,93.7500000000002,3.498,87.7192982456141,3.104,85.2272727272729
0.00999999999999979,0.87143290831816,0.865161184748814,3.902,86.206896551724,4.18,87.9765395894428,3.796,86.7052023121387
0.0120000000000005,0.866839229220593,0.865591814588017,4.584,87.976539589443,4.85,89.5522388059702,4.478,87.9765395894428
0.0140000000000002,0.859289617486341,0.867206676485027,5.226,93.4579439252335,5.536,87.463556851312,5.184,84.985835694051
0.016,0.855711683580533,0.867498889590201,5.944,83.5654596100279,6.224,87.2093023255813,5.874,86.9565217391303
0.0179999999999998,0.852459016393438,0.865533092337216,6.606,90.6344410876134,6.914,86.9565217391305,6.56,87.463556851312
0.0200000000000005,0.852459016393438,0.863738233975796,7.344,81.3008130081301,7.6,87.463556851312,7.238,88.4955752212391
0.0220000000000002,0.858151183970858,0.861070201276387,7.998,91.7431192660548,8.294,86.4553314121036,7.938,85.7142857142856
0.024,0.857923497267753,0.857633775159549,8.684,87.463556851312,8.994,85.7142857142858,8.622,87.7192982456141
0.0259999999999998,0.863387978142083,0.858615611192931,9.42,81.5217391304349,9.694,85.7142857142856,9.354,81.9672131147542
0.0280000000000005,0.860655737704914,0.855670103092784,10.116,86.2068965517242,10.4,84.9858356940513,10.058,85.2272727272726
0.0300000000000002,0.849726775956292,0.852724594992637,10.824,84.7457627118642,11.11,84.507042253521,10.782,82.8729281767956
0.032,0.836065573770493,0.849779086892489,11.522,85.9598853868194,11.822,84.2696629213483,11.484,85.4700854700853
0.0339999999999998,0.819672131147549,0.843888070692195,12.274,79.7872340425533,12.534,84.2696629213483,12.182,85.9598853868199
0.0360000000000005,0.811475409836073,0.837015218458518,12.976,85.4700854700857,13.252,83.5654596100279,12.948,78.3289817232374
0.0380000000000003,0.797814207650282,0.827196858124693,13.558,103.092783505155,13.974,83.1024930747921,13.67,83.1024930747921
0.04,0.797814207650282,0.815414825724105,14.414,70.0934579439251,14.694,83.3333333333335,14.38,84.5070422535214
0.0419999999999998,0.800546448087435,0.807560137457045,15.116,85.4700854700857,15.402,84.7457627118642,15.102,83.1024930747921
0.0440000000000005,0.786885245901644,0.796759941089838,15.836,83.3333333333331,16.1,85.9598853868194,15.844,80.8625336927223
0.0460000000000003,0.773224043715853,0.78105056455572,17.232,42.9799426934098,16.812,84.2696629213483,16.546,85.4700854700857
0.048,0.770491803278692,0.765341188021601,17.912,88.2352941176471,17.514,85.4700854700857,17.234,87.2093023255811
0.0499999999999998,0.765027322404377,0.747668139420717,18.57,91.1854103343463,18.188,89.0207715133532,17.96,82.6446280991737
0.0520000000000005,0.75409836065574,0.728031418753068,19.254,87.7192982456139,18.856,89.8203592814368,18.644,87.7192982456144
0.0540000000000003,0.745901639344264,0.70839469808542,19.934,88.2352941176471,19.528,89.2857142857142,19.308,90.3614457831323
0.056,0.743169398907103,0.689739813451154,20.574,93.7499999999999,20.2,89.2857142857147,19.984,88.7573964497039
0.0579999999999998,0.73770491803278,0.669121256750123,21.25,88.7573964497044,20.862,90.6344410876129,20.64,91.4634146341465
0.0600000000000005,0.729508196721312,0.644575355915562,21.89,93.7499999999999,21.528,90.09009009009,21.362,83.1024930747925
0.0620000000000003,0.734972677595627,0.621011291114384,22.528,94.0438871473352,22.178,92.3076923076925,22.004,93.4579439252332
0.0640000000000001,0.732240437158473,0.594501718213059,23.252,82.872928176796,22.84,90.6344410876134,22.65,92.8792569659447
0.0659999999999998,0.72677595628415,0.568973981345116,23.886,94.6372239747634,23.51,89.5522388059699,23.332,87.9765395894425
0.0680000000000005,0.729508196721312,0.54246440844379,24.572,87.463556851312,24.172,90.6344410876134,24.012,88.2352941176471
0.0700000000000003,0.72677595628415,0.5139911634757,25.07,120.481927710843,24.842,89.5522388059699,24.68,89.8203592814372
0.0720000000000001,0.707650273224037,0.487481590574374,25.926,70.0934579439251,25.526,87.7192982456144,25.356,88.7573964497039
0.0739999999999998,0.693989071038246,0.458026509572901,26.626,85.7142857142862,26.22,86.4553314121039,26.026,89.5522388059699
0.0760000000000005,0.688524590163939,0.425625920471281,27.268,93.4579439252332,26.89,89.5522388059699,26.748,83.1024930747929
0.0780000000000003,0.685792349726778,0.396170839469809,27.946,88.4955752212393,27.56,89.5522388059699,27.43,87.9765395894425
0.0800000000000001,0.688524590163924,0.364752086401571,28.624,88.4955752212384,28.232,89.2857142857147,28.126,86.2068965517244
0.0819999999999999,0.688524590163924,0.332351497299951,29.284,90.9090909090914,28.912,88.2352941176471,28.796,89.5522388059699
0.0840000000000005,0.702185792349715,0.297005400098184,29.986,85.4700854700848,29.582,89.5522388059699,29.464,89.8203592814372
0.0860000000000003,0.704918032786876,0.261659302896416,30.69,85.2272727272735,30.266,87.7192982456144,30.162,85.9598853868194
0.0880000000000001,0.704918032786876,0.229258713794796,31.412,83.1024930747921,30.964,85.9598853868194,30.796,94.6372239747634
0.0899999999999999,0.6967213114754,0.195876288659794,32.082,89.5522388059699,31.672,84.7457627118637,31.538,80.8625336927227
0.0920000000000005,0.691256830601085,0.159548355424644,32.846,78.5340314136123,32.386,84.0336134453783,32.25,84.2696629213479
0.0940000000000003,0.699453551912561,0.12125675012273,33.522,88.7573964497048,33.102,83.7988826815641,32.97,83.3333333333335
0.0960000000000001,0.707650273224037,0.0868924889543448,34.262,81.0810810810809,33.83,82.417582417583,33.718,80.213903743315
0.0979999999999999,0.702185792349722,0.053510063819342,35.242,61.2244897959186,34.556,82.6446280991737,34.434,83.7988826815649
0.100000000000001,0.699453551912576,0.0191458026509572,36.302,56.6037735849055,35.27,84.0336134453775,35.182,80.213903743315
0.102,0.702185792349722,-0.0132547864506628,37.162,69.7674418604652,35.974,85.2272727272726,35.884,85.4700854700857
0.104,0.6967213114754,-0.0495827196858124,37.782,96.7741935483864,36.692,83.5654596100283,36.614,82.1917808219182
0.106,0.693989071038246,-0.0829651448208149,38.54,79.1556728232195,37.4,84.7457627118646,37.326,84.2696629213479
0.108000000000001,0.6967213114754,-0.118311242022582,39.24,85.7142857142854,38.11,84.507042253521,38.034,84.7457627118646
0.11,0.693989071038246,-0.154639174030437,39.92,88.2352941176471,38.814,85.2272727272726,38.742,84.7457627118646
0.112,0.683060109289624,-0.188021599165439,40.682,78.7401574803149,39.52,84.9858356940506,39.472,82.1917808219174
0.114,0.674863387978148,-0.220422188267059,41.316,94.6372239747634,40.228,84.7457627118646,40.174,85.4700854700857
0.116000000000001,0.674863387978148,-0.253804612174767,42.022,84.9858356940515,40.926,85.9598853868194,40.892,83.5654596100274
0.118,0.666666666666672,-0.289150709376534,42.776,79.5755968169756,41.616,86.9565217391307,41.582,86.9565217391307
0.12,0.661202185792357,-0.322533134511537,43.398,96.4630225080386,42.304,87.2093023255811,42.292,84.507042253521
0.122,0.672131147540987,-0.357879231713304,44.114,83.7988826815641,42.996,86.7052023121387,43.008,83.7988826815641
0.124000000000001,0.677595628415301,-0.390279820814924,44.794,88.2352941176471,43.674,88.4955752212393,43.71,85.4700854700857
0.126,0.674863387978148,-0.419734901816397,45.478,87.7192982456144,44.368,86.4553314121034,44.378,89.8203592814372
0.128,0.677595628415317,-0.452135490918017,46.098,96.7741935483875,45.06,86.7052023121387,45.11,81.9672131147542
0.13,0.666666666666664,-0.482572407952872,46.836,81.3008130081301,45.758,85.9598853868194,45.772,90.6344410876134
0.132000000000001,0.666666666666672,-0.514972997054492,47.536,85.7142857142854,46.446,87.209302325582,46.512,81.0810810810809
0.134,0.65027322404372,-0.543446242022582,48.254,83.5654596100283,47.134,87.2093023255811,47.176,90.3614457831323
0.136,0.647540983606566,-0.567992142857143,48.936,87.9765395894425,47.822,87.2093023255811,47.892,83.7988826815641
0.138,0.644808743169405,-0.594501715758468,49.616,88.2352941176471,48.52,85.9598853868194,48.59,85.9598853868194
0.140000000000001,0.644808743169405,-0.621011288659794,50.292,88.7573964497039,49.206,87.463556851312,49.292,85.4700854700857
0.142,0.658469945355196,-0.645557189494354,50.968,88.7573964497039,49.898,86.7052023121387,49.99,85.9598853868194
0.144,0.661202185792357,-0.66813941826215,51.692,82.872928176796,50.592,86.4553314121043,50.692,85.4700854700857
